latitude,longitude,month,rainfall_mm,humidity_pct,temperature_c,wind_speed_kmh,elevation_m,slope_degree,soil_type,river_proximity_km,ndvi,risk_label
6.975,80.0,2024-02,32.6,93.4,27.8,15.6,74.9,18.6,loam,5.12,0.54,No Risk
7.1,80.125,2023-05,220.9,96.1,26.6,13.6,71.0,11.4,loam,2.78,0.72,Warning
6.95,80.275,2024-10,612.3,95.4,25.3,11.8,186.9,15.9,sandy,15.0,0.81,Landslide
7.0,80.125,2024-02,42.4,94.3,27.5,14.2,32.7,2.6,clay,12.17,0.51,Warning
7.125,80.0,2024-02,29.1,91.4,28.1,17.1,61.0,15.4,loam,7.47,0.39,No Risk
7.05,79.975,2023-08,113.9,95.8,26.7,17.7,7.1,1.2,clay,3.72,0.6,Warning
6.975,80.125,2025-04,282.7,98.3,25.9,12.8,37.5,4.8,clay,14.32,0.63,Warning
7.05,79.85,2023-06,326.9,94.7,27.1,20.1,7.3,1.1,clay,11.8,0.57,Warning
6.95,80.025,2023-01,146.5,93.9,24.8,13.6,88.4,10.8,loam,8.69,0.77,Warning
6.95,79.925,2024-11,350.8,96.5,25.8,15.2,29.7,6.4,clay,2.77,0.59,Flood
6.925,80.275,2025-02,51.8,97.0,25.9,12.1,193.9,32.8,loam,15.0,0.68,Warning
7.025,79.95,2025-05,276.9,96.8,27.2,15.7,14.2,1.5,clay,2.99,0.57,Flood
7.075,80.075,2024-12,158.5,98.0,25.7,12.5,71.6,10.1,clay,2.83,0.68,Warning
7.025,80.2,2024-07,355.1,96.4,25.3,14.5,123.8,29.9,sandy,8.32,0.81,Landslide
6.975,80.075,2024-05,772.3,97.6,27.0,15.7,57.2,4.9,clay,10.32,0.71,Warning
7.0,79.85,2024-11,382.9,96.9,25.8,15.2,13.7,1.6,loam,7.85,0.62,Warning
6.975,80.225,2025-05,309.7,98.0,26.1,13.4,118.1,16.4,sandy,14.15,0.83,Landslide
7.1,80.0,2024-02,26.3,92.4,27.9,16.2,72.7,8.6,loam,5.98,0.57,No Risk
7.125,80.1,2023-12,387.0,97.0,25.5,15.1,39.1,1.8,loam,1.24,0.63,Flood
7.05,80.375,2025-03,128.8,98.7,20.7,8.7,212.7,17.2,sandy,15.0,0.75,Landslide
7.025,79.95,2024-06,359.9,95.9,26.7,18.0,14.2,1.5,clay,2.99,0.57,Flood
6.925,79.925,2023-09,554.6,95.0,26.0,19.3,31.7,5.7,loam,3.92,0.56,Warning
7.0,80.075,2024-09,370.1,97.6,26.2,16.7,52.6,1.6,sandy,8.25,0.65,Warning
7.125,80.0,2025-02,42.6,95.5,27.1,15.6,61.0,15.4,loam,7.47,0.56,No Risk
7.15,79.9,2023-06,336.4,94.6,27.1,20.5,7.8,0.8,clay,15.0,0.54,Warning
6.95,79.925,2024-12,131.1,94.3,26.7,13.7,29.7,6.4,clay,2.77,0.58,Flood
6.9,79.875,2024-09,318.3,92.9,27.0,20.1,17.2,0.3,clay,2.29,0.57,Flood
7.1,80.175,2025-02,41.6,96.1,26.1,14.4,146.2,35.3,loam,2.78,0.65,No Risk
6.95,80.225,2025-05,299.0,98.2,26.1,12.9,67.0,14.3,loam,15.0,0.65,Warning
6.9,79.875,2023-12,416.3,96.3,25.8,14.6,17.2,0.3,clay,2.29,0.6,Flood
7.0,80.325,2024-11,601.0,98.7,23.8,10.2,237.4,27.0,sandy,15.0,0.81,Landslide
7.125,80.35,2024-10,365.7,96.1,24.5,13.8,158.1,30.1,loam,9.82,0.76,Landslide
6.975,80.025,2024-02,35.9,93.7,27.7,15.0,70.2,12.1,sandy,6.33,0.59,No Risk
7.125,80.025,2025-02,43.2,95.3,27.0,15.6,86.7,12.3,loam,5.71,0.55,No Risk
7.1,80.175,2024-02,19.2,91.9,27.5,16.4,146.2,35.3,loam,2.78,0.62,No Risk
6.95,80.35,2024-10,542.0,96.0,24.2,11.4,144.3,16.2,loam,15.0,0.81,Landslide
7.125,79.95,2024-04,205.5,98.7,28.0,12.8,22.8,6.1,loam,11.39,0.55,Warning
6.95,79.95,2024-11,411.9,98.9,25.4,12.6,10.8,0.5,clay,4.0,0.58,Warning
7.1,80.125,2023-08,121.5,95.5,26.4,17.1,71.0,11.4,loam,2.78,0.64,Warning
6.975,79.85,2024-03,93.8,95.0,28.0,16.4,9.5,0.5,clay,6.21,0.54,Warning
6.975,80.225,2024-02,46.0,95.4,27.2,13.3,118.1,16.4,sandy,14.15,0.7,Warning
6.925,80.025,2025-02,69.4,97.1,26.3,13.4,52.5,3.1,clay,11.02,0.59,Warning
6.975,80.225,2025-01,339.0,98.4,24.9,10.6,118.1,16.4,sandy,14.15,0.8,Landslide
6.9,80.075,2023-05,272.0,97.6,26.4,13.6,48.0,3.8,clay,15.0,0.67,Warning
6.975,79.975,2024-02,32.2,93.4,27.8,15.5,17.0,0.8,loam,3.24,0.4,Warning
6.925,80.125,2024-02,39.2,96.4,27.1,12.8,34.1,5.4,loam,15.0,0.49,Warning
6.95,80.125,2024-08,359.2,96.3,25.7,16.3,28.9,5.4,clay,15.0,0.6,Warning
6.925,80.3,2024-09,417.6,95.1,25.6,12.8,197.1,18.5,loam,15.0,0.8,Landslide
6.9,80.1,2025-05,317.5,98.8,26.0,15.3,75.8,7.3,loam,15.0,0.72,Warning
7.025,79.95,2023-04,172.5,97.7,26.9,12.1,14.2,1.5,clay,2.99,0.57,Flood
6.9,79.875,2025-05,273.3,94.1,27.8,17.8,17.2,0.3,clay,2.29,0.61,Flood
6.975,79.925,2024-10,418.9,95.5,26.2,17.1,14.6,0.6,clay,0.78,0.56,Flood
6.975,79.925,2023-08,131.6,92.9,27.0,19.9,14.6,0.6,clay,0.78,0.58,Flood
7.0,80.15,2025-03,173.9,98.4,26.1,12.1,147.0,20.3,sandy,12.41,0.8,Landslide
6.925,80.275,2024-02,42.4,94.2,26.7,12.1,193.9,32.8,loam,15.0,0.69,No Risk
6.975,80.075,2023-01,129.0,91.8,25.1,14.5,57.2,4.9,clay,10.32,0.64,Warning
6.9,80.375,2025-05,369.2,99.0,24.6,11.4,172.8,22.7,sandy,15.0,0.85,Landslide
6.975,79.9,2024-08,301.8,92.6,26.7,19.5,18.4,0.3,clay,2.77,0.59,Flood
7.05,80.3,2025-03,205.2,97.9,25.6,11.1,128.7,31.4,loam,11.8,0.85,Landslide
7.0,80.125,2023-12,475.0,97.8,25.5,12.5,32.7,2.6,clay,12.17,0.58,Warning
6.975,79.95,2025-04,228.3,97.6,26.9,12.1,19.8,1.1,clay,2.29,0.58,Flood
7.075,80.05,2024-07,315.0,97.0,26.5,16.0,38.7,7.9,clay,0.55,0.62,Flood
7.1,80.35,2023-03,143.5,94.7,26.3,11.4,104.3,12.9,sandy,12.01,0.78,Warning
6.95,80.05,2025-05,319.7,98.6,26.5,16.0,79.7,18.7,loam,10.23,0.71,Landslide
6.9,79.95,2024-04,224.9,98.5,27.9,12.7,23.8,4.0,clay,7.85,0.63,Warning
7.025,79.925,2024-02,43.6,91.9,27.6,17.5,7.6,1.0,clay,4.77,0.42,No Risk
6.9,79.875,2024-10,410.6,95.4,26.3,16.9,17.2,0.3,clay,2.29,0.62,Flood
7.05,80.05,2023-12,403.4,97.8,25.8,13.6,22.4,3.7,loam,3.33,0.57,Flood
6.975,79.975,2024-10,441.6,97.3,25.9,14.2,17.0,0.8,loam,3.24,0.6,Flood
6.925,80.0,2024-02,37.6,95.3,27.5,14.7,60.1,18.3,loam,9.44,0.51,No Risk
7.125,80.15,2023-03,147.9,95.8,26.2,12.9,153.9,18.9,loam,2.99,0.83,Landslide
7.05,79.95,2024-09,325.9,96.2,26.6,17.9,19.3,2.2,clay,5.55,0.61,Warning
6.95,79.85,2023-12,410.4,96.3,25.9,14.8,17.7,1.4,clay,4.0,0.62,Warning
7.075,79.925,2023-12,366.3,95.8,25.9,16.1,12.8,1.0,loam,9.19,0.57,Warning
7.075,80.275,2024-11,540.7,98.6,24.5,12.0,201.6,18.5,loam,7.89,0.82,Landslide
7.025,79.875,2024-02,43.0,91.7,27.6,17.6,22.2,5.8,clay,7.89,0.47,No Risk
6.95,80.175,2024-08,402.8,95.4,25.8,14.8,117.2,19.0,loam,15.0,0.8,Landslide
7.0,80.35,2024-08,387.9,95.2,25.6,14.5,193.9,27.8,loam,15.0,0.82,Landslide
7.1,80.1,2024-07,318.9,96.7,26.1,16.8,75.3,10.7,loam,2.22,0.75,Warning
7.125,79.9,2024-02,26.8,90.4,27.7,18.0,29.0,5.3,clay,15.0,0.39,No Risk
7.025,79.95,2023-04,178.0,97.7,26.9,12.2,14.2,1.5,clay,2.99,0.57,Flood
7.075,80.25,2024-11,540.7,98.6,25.2,12.0,117.6,18.7,sandy,6.21,0.79,Landslide
7.125,80.35,2024-05,686.7,97.1,25.8,16.2,158.1,30.1,loam,9.82,0.83,Landslide
6.975,80.15,2023-11,597.3,98.5,25.2,10.2,94.7,8.2,loam,14.94,0.71,Warning
7.075,79.925,2023-09,510.3,95.0,26.0,20.2,12.8,1.0,loam,9.19,0.58,Warning
7.025,80.125,2023-01,160.0,92.7,24.7,14.4,60.4,12.0,clay,9.71,0.68,Warning
6.95,80.25,2024-02,42.9,94.3,26.0,12.2,182.1,27.5,sandy,15.0,0.67,No Risk
7.075,80.325,2024-06,338.0,96.3,24.8,16.2,99.7,18.4,sandy,11.88,0.71,Landslide
7.15,79.85,2025-02,34.3,91.7,27.3,17.7,3.2,1.5,clay,15.0,0.37,No Risk
7.075,79.875,2024-02,41.8,91.3,27.7,17.7,9.5,1.1,clay,12.18,0.47,No Risk
7.15,80.0,2023-08,91.8,95.8,26.6,17.5,84.9,11.8,sandy,9.55,0.72,Warning
7.075,80.35,2024-03,93.9,94.8,26.7,13.3,222.8,24.9,loam,13.74,0.75,Landslide
6.925,79.95,2025-05,307.3,96.9,27.1,15.7,7.2,0.3,clay,6.21,0.59,Warning
6.9,80.05,2024-02,38.5,96.1,27.3,13.1,22.1,5.5,clay,14.89,0.45,Warning
7.125,80.075,2024-02,25.0,91.1,27.8,17.2,72.3,12.6,loam,2.83,0.48,No Risk
7.025,79.975,2025-03,192.3,98.4,26.7,10.7,18.0,0.9,loam,1.76,0.59,Flood
6.9,79.85,2023-07,237.3,93.0,26.9,21.1,8.8,0.6,clay,3.14,0.56,Flood
7.05,79.9,2024-12,129.1,95.1,26.2,14.6,18.4,1.2,clay,8.45,0.58,Warning
7.075,80.125,2024-11,518.6,98.5,25.1,13.7,86.3,10.8,sandy,5.27,0.75,Warning
7.0,80.175,2025-05,309.7,98.0,25.4,13.4,74.0,13.3,sandy,11.44,0.7,Warning
7.075,80.325,2023-05,236.2,95.5,25.2,12.4,99.7,18.4,sandy,11.88,0.71,Landslide
6.9,79.875,2024-07,316.0,93.6,27.2,19.0,17.2,0.3,clay,2.29,0.62,Flood
6.925,80.225,2023-12,481.4,98.3,25.4,11.4,132.0,36.4,loam,15.0,0.85,Landslide
7.025,80.05,2024-04,222.8,98.2,28.0,12.4,34.0,3.7,loam,4.33,0.65,Warning
7.05,80.025,2023-02,120.8,95.4,25.9,13.2,87.5,19.3,clay,0.56,0.73,Landslide
7.1,80.05,2024-11,468.5,98.7,25.3,13.5,41.6,6.9,loam,2.22,0.68,Flood
7.0,80.275,2024-08,456.7,94.2,25.5,14.8,241.0,35.6,sandy,13.88,0.8,Landslide
7.1,80.2,2025-05,305.5,98.3,25.9,14.4,88.8,13.2,loam,0.0,0.79,Warning
6.9,80.35,2023-07,390.3,94.8,24.5,12.5,121.1,24.6,loam,15.0,0.75,Landslide
7.1,80.05,2024-08,265.1,96.5,26.2,16.1,41.6,6.9,loam,2.22,0.64,Flood
7.15,79.9,2023-12,312.3,95.5,26.0,16.8,7.8,0.8,clay,15.0,0.52,Warning
7.125,79.975,2024-07,299.1,96.1,26.8,17.7,15.6,2.2,loam,9.71,0.66,Warning
6.9,79.85,2023-05,238.3,94.7,27.4,17.2,8.8,0.6,clay,3.14,0.54,Flood
7.075,80.225,2023-02,96.5,96.6,24.4,11.3,87.8,9.6,sandy,3.92,0.7,Warning
6.925,79.925,2024-11,354.2,96.4,25.8,15.1,31.7,5.7,loam,3.92,0.62,Warning
6.9,80.125,2023-03,180.9,98.2,25.7,9.9,76.5,15.5,sandy,15.0,0.72,Landslide
6.9,79.85,2023-10,556.0,96.8,25.6,15.1,8.8,0.6,clay,3.14,0.55,Flood
7.05,79.9,2023-09,510.3,95.0,26.0,20.2,18.4,1.2,clay,8.45,0.6,Warning
7.125,79.975,2024-05,606.9,97.2,27.4,16.3,15.6,2.2,loam,9.71,0.57,Warning
6.9,80.375,2024-03,139.7,92.4,26.3,12.4,172.8,22.7,sandy,15.0,0.8,Landslide
7.1,80.325,2025-03,205.2,97.9,25.9,11.1,154.6,24.9,loam,9.82,0.81,Landslide
6.95,80.075,2023-07,296.9,97.1,26.0,16.8,54.5,2.1,loam,12.22,0.7,Warning
7.1,80.1,2023-02,100.4,94.5,25.6,13.9,75.3,10.7,loam,2.22,0.67,Warning
7.0,80.35,2024-11,601.0,98.7,24.8,10.2,193.9,27.8,loam,15.0,0.79,Landslide
6.975,80.1,2023-07,359.7,97.1,25.9,16.2,59.2,7.7,sandy,12.17,0.73,Warning
7.1,79.875,2023-11,517.8,97.8,25.5,11.8,24.4,3.5,clay,14.57,0.6,Warning
7.075,80.075,2024-02,27.4,91.6,28.1,16.6,71.6,10.1,clay,2.83,0.47,No Risk
6.9,79.95,2023-04,213.5,97.7,26.8,11.7,23.8,4.0,clay,7.85,0.57,Warning
7.0,80.05,2025-05,323.7,98.0,26.7,15.5,33.9,6.9,sandy,6.47,0.66,Warning
6.9,80.25,2024-02,42.6,94.4,26.7,12.2,113.0,8.2,sandy,15.0,0.64,No Risk
7.125,79.9,2025-02,34.2,91.7,27.3,17.8,29.0,5.3,clay,15.0,0.4,No Risk
6.95,80.225,2024-09,347.8,96.5,25.8,14.7,67.0,14.3,loam,15.0,0.68,Warning
7.075,80.3,2023-07,363.1,94.3,25.4,15.0,99.1,6.7,loam,9.88,0.77,Warning
7.025,80.0,2024-02,32.2,93.5,27.8,15.4,75.1,17.7,clay,1.24,0.56,No Risk
7.05,79.9,2025-03,153.9,96.3,26.8,12.5,18.4,1.2,clay,8.45,0.57,Warning
7.0,80.325,2024-12,148.9,98.3,24.0,10.6,237.4,27.0,sandy,15.0,0.76,Landslide
7.125,80.375,2024-11,625.7,98.2,24.0,11.4,175.1,24.7,sandy,11.88,0.83,Landslide
6.9,80.375,2023-12,546.1,96.5,24.2,10.2,172.8,22.7,sandy,15.0,0.78,Landslide
6.9,79.925,2023-02,67.3,95.1,25.6,15.8,28.1,3.3,sandy,6.21,0.52,Warning
6.975,80.025,2024-02,36.0,93.7,27.8,14.9,70.2,12.1,sandy,6.33,0.59,No Risk
7.15,79.85,2024-04,187.8,95.8,28.1,14.2,3.2,1.5,clay,15.0,0.56,Warning
7.15,80.0,2023-02,118.6,94.7,25.8,13.7,84.9,11.8,sandy,9.55,0.73,Warning
7.025,80.075,2024-02,35.9,93.6,27.6,14.9,77.9,17.8,loam,6.71,0.55,No Risk
6.9,79.85,2023-04,138.2,95.4,27.4,13.7,8.8,0.6,clay,3.14,0.58,Flood
7.15,80.0,2024-02,29.2,91.1,28.0,16.9,84.9,11.8,sandy,9.55,0.54,No Risk
7.0,80.35,2023-08,159.9,93.8,26.0,14.5,193.9,27.8,loam,15.0,0.79,Landslide
6.925,79.875,2024-10,413.9,95.5,26.3,16.8,16.7,1.3,loam,0.78,0.6,Flood
6.975,79.975,2025-01,343.7,97.1,25.4,13.1,17.0,0.8,loam,3.24,0.6,Flood
6.975,79.85,2024-09,304.0,93.0,27.1,20.5,9.5,0.5,clay,6.21,0.55,Warning
6.925,79.85,2024-05,666.5,95.2,27.7,20.1,24.7,3.2,clay,2.29,0.6,Flood
7.1,80.25,2024-02,22.2,92.4,27.0,15.8,182.6,19.8,loam,4.0,0.61,No Risk
7.0,80.175,2024-08,391.2,95.1,25.1,15.0,74.0,13.3,sandy,11.44,0.67,Warning
7.05,80.15,2023-10,600.5,97.4,25.1,13.1,133.4,17.5,loam,7.85,0.8,Landslide
7.075,80.0,2023-10,616.8,98.4,25.4,12.6,89.4,13.9,loam,3.55,0.7,Warning
6.975,80.1,2025-05,326.0,98.4,26.2,15.3,59.2,7.7,sandy,12.17,0.6,Warning
7.075,79.85,2024-03,78.7,94.8,28.1,16.3,25.8,2.4,loam,13.79,0.5,Warning
7.0,79.9,2024-02,43.0,91.8,27.6,17.7,22.7,1.5,clay,4.0,0.5,No Risk
7.0,79.975,2025-05,280.8,96.7,27.2,15.9,9.0,0.5,clay,1.67,0.59,Flood
6.925,80.025,2024-02,38.4,96.1,27.4,13.1,52.5,3.1,clay,11.02,0.46,No Risk
7.075,80.25,2024-01,206.0,96.8,25.9,11.1,117.6,18.7,sandy,6.21,0.81,Landslide
7.0,80.2,2023-06,342.8,95.8,25.9,13.3,62.8,13.7,sandy,11.1,0.69,Warning
7.075,80.175,2024-02,33.5,93.5,26.5,15.7,88.0,17.9,loam,3.92,0.54,No Risk
7.075,80.175,2024-02,33.8,93.6,26.5,15.5,88.0,17.9,loam,3.92,0.54,No Risk
7.0,79.95,2024-09,364.7,96.4,26.6,17.7,31.8,5.9,clay,1.11,0.61,Flood
7.1,79.925,2024-10,413.1,97.1,25.9,14.2,4.3,0.6,clay,11.44,0.56,Warning
6.95,80.2,2023-10,693.8,97.0,25.1,12.6,66.3,6.2,loam,15.0,0.66,Warning
6.9,80.0,2024-02,37.0,95.4,27.4,14.7,64.3,14.6,loam,11.8,0.52,No Risk
6.975,79.95,2024-09,374.7,96.3,26.6,17.6,19.8,1.1,clay,2.29,0.64,Flood
7.1,80.025,2025-03,180.6,98.3,26.4,12.7,59.1,4.2,loam,3.55,0.65,Warning
6.95,80.25,2024-02,41.9,94.4,26.0,12.4,182.1,27.5,sandy,15.0,0.67,No Risk
6.925,79.9,2023-03,135.9,95.9,26.4,12.9,11.6,0.4,clay,2.78,0.55,Flood
7.05,80.075,2023-12,403.4,97.8,25.8,13.6,48.9,3.6,loam,4.33,0.66,Warning
6.975,80.2,2025-01,339.0,98.4,24.9,10.6,118.9,8.0,sandy,13.88,0.79,Warning
7.125,79.975,2024-12,160.5,98.0,25.7,13.1,15.6,2.2,loam,9.71,0.58,Warning
7.025,79.975,2024-01,176.3,95.6,26.0,12.7,18.0,0.9,loam,1.76,0.61,Flood
7.1,80.125,2024-06,393.4,96.6,26.1,17.0,71.0,11.4,loam,2.78,0.68,Warning
7.05,80.1,2023-06,323.6,96.8,26.0,15.3,43.6,5.2,clay,5.98,0.6,Warning
7.125,80.2,2024-11,565.6,98.7,24.8,12.7,92.0,7.0,sandy,2.78,0.74,Warning
6.9,80.1,2025-02,74.5,97.5,26.1,13.4,75.8,7.3,loam,15.0,0.62,Warning
7.05,80.275,2024-06,405.7,95.6,25.6,16.6,201.8,19.8,loam,10.01,0.85,Landslide
7.05,80.275,2024-02,24.9,94.3,26.7,14.2,201.8,19.8,loam,10.01,0.52,No Risk
7.0,80.25,2024-04,203.0,96.8,27.5,11.1,127.9,31.1,loam,12.41,0.83,Landslide
6.9,80.275,2023-08,190.3,93.5,26.1,14.4,132.8,33.3,sandy,15.0,0.78,Landslide
7.1,80.125,2023-06,323.6,96.8,26.0,15.3,71.0,11.4,loam,2.78,0.67,Warning
7.125,80.375,2024-02,26.2,91.7,26.3,16.0,175.1,24.7,sandy,11.88,0.58,No Risk
7.15,79.875,2024-04,187.8,95.8,28.1,14.2,5.4,2.0,loam,15.0,0.59,Warning
7.05,80.35,2024-08,365.2,95.2,25.2,15.4,132.8,27.5,sandy,15.0,0.78,Landslide
6.9,79.925,2024-08,334.0,92.8,26.8,19.1,28.1,3.3,sandy,6.21,0.65,Warning
7.125,80.025,2024-05,707.0,97.7,27.1,15.6,86.7,12.3,loam,5.71,0.67,Warning
7.025,79.925,2023-06,370.5,94.9,27.0,19.9,7.6,1.0,clay,4.77,0.58,Warning
6.95,80.1,2023-04,199.7,97.4,26.5,11.4,68.6,15.4,clay,14.21,0.65,Landslide
6.975,80.0,2025-03,189.9,98.5,26.7,11.0,74.9,18.6,loam,5.12,0.73,Landslide
7.125,80.2,2025-02,41.8,96.0,26.1,14.5,92.0,7.0,sandy,2.78,0.59,No Risk
7.125,80.1,2024-02,25.5,90.8,27.9,17.2,39.1,1.8,loam,1.24,0.4,No Risk
7.025,80.225,2023-01,167.6,94.5,24.4,13.1,137.7,19.0,sandy,8.78,0.8,Landslide
7.125,79.925,2023-11,513.5,99.6,25.4,10.1,3.0,1.9,clay,13.44,0.53,Warning
7.125,80.375,2025-02,27.2,96.6,25.3,13.0,175.1,24.7,sandy,11.88,0.64,No Risk
7.05,80.375,2023-05,187.9,96.2,21.3,12.1,212.7,17.2,sandy,15.0,0.82,Landslide
6.975,80.075,2024-03,121.6,96.0,28.2,15.4,57.2,4.9,clay,10.32,0.63,Warning
6.95,79.925,2024-11,355.9,96.3,25.8,15.1,29.7,6.4,clay,2.77,0.59,Flood
7.1,79.9,2023-07,205.5,92.5,26.9,21.4,20.9,6.5,clay,12.94,0.59,Warning
6.975,79.9,2023-10,504.7,96.8,25.6,15.1,18.4,0.3,clay,2.77,0.6,Flood
6.925,80.025,2024-02,38.7,96.0,27.3,13.1,52.5,3.1,clay,11.02,0.46,No Risk
7.0,80.25,2024-06,451.6,95.4,25.7,15.3,127.9,31.1,loam,12.41,0.83,Landslide
6.975,79.975,2024-07,362.9,96.4,26.8,16.3,17.0,0.8,loam,3.24,0.59,Flood
6.9,80.075,2024-02,38.4,96.1,27.3,13.2,48.0,3.8,clay,15.0,0.48,No Risk
7.125,80.35,2024-11,625.7,98.2,24.0,11.4,158.1,30.1,loam,9.82,0.77,Landslide
6.95,80.25,2023-02,135.7,95.6,24.3,10.9,182.1,27.5,sandy,15.0,0.82,Landslide
6.9,79.9,2024-11,354.2,96.4,25.8,15.1,18.9,1.4,clay,4.0,0.58,Warning
6.9,80.325,2024-01,345.7,94.6,24.3,9.5,190.9,31.7,sandy,15.0,0.8,Landslide
6.9,79.9,2024-07,316.0,93.6,27.2,19.0,18.9,1.4,clay,4.0,0.58,Warning
7.05,80.2,2025-05,305.5,98.3,24.7,14.4,99.8,17.4,sandy,5.55,0.74,Landslide
6.975,80.275,2023-06,395.4,94.7,25.6,12.7,191.4,27.2,loam,15.0,0.83,Landslide
6.95,80.275,2025-02,51.8,97.0,25.9,12.1,186.9,15.9,sandy,15.0,0.68,Warning
7.075,80.2,2024-02,33.8,93.7,27.3,15.5,99.7,13.8,loam,2.77,0.63,No Risk
7.025,80.075,2023-08,137.4,96.4,26.5,17.0,77.9,17.8,loam,6.71,0.72,Landslide
7.05,79.9,2025-05,288.9,95.1,27.7,20.2,18.4,1.2,clay,8.45,0.63,Warning
7.1,80.075,2024-03,112.6,95.8,28.3,15.7,92.3,13.0,clay,0.55,0.72,Warning
7.075,80.325,2024-02,27.7,94.6,25.7,12.9,99.7,18.4,sandy,11.88,0.53,No Risk
7.05,80.175,2025-03,205.9,97.8,25.9,11.6,121.1,17.9,sandy,6.21,0.79,Landslide
7.15,79.925,2025-01,271.0,96.5,25.5,15.8,12.6,0.5,clay,15.0,0.55,Warning
7.025,80.325,2024-01,236.9,96.2,25.0,9.9,167.2,17.8,sandy,15.0,0.78,Landslide
7.0,80.1,2024-11,499.0,98.3,25.1,14.1,29.7,6.4,loam,10.47,0.61,Warning
6.95,79.9,2024-04,174.7,96.2,28.2,14.4,20.5,4.8,loam,0.0,0.57,Flood
7.0,80.075,2024-12,186.0,97.9,25.7,12.3,52.6,1.6,sandy,8.25,0.67,Warning
7.0,80.0,2024-02,32.3,93.5,27.7,15.3,74.6,6.2,clay,2.48,0.54,No Risk
6.975,79.975,2025-04,234.2,97.6,26.9,12.5,17.0,0.8,loam,3.24,0.62,Flood
7.075,79.9,2023-11,473.5,97.8,25.5,11.8,28.5,5.2,clay,10.66,0.64,Warning
6.95,80.3,2024-08,484.2,94.0,25.6,14.1,238.9,30.8,sandy,15.0,0.77,Landslide
7.075,80.025,2024-02,27.8,91.4,28.1,16.5,86.0,16.6,loam,2.83,0.52,No Risk
7.025,80.0,2023-07,254.2,95.5,26.6,17.6,75.1,17.7,clay,1.24,0.67,Landslide
6.925,79.875,2023-02,67.3,95.1,25.6,15.8,16.7,1.3,loam,0.78,0.51,Warning
